"","document","на","что","за","и","в","из","со","а","во","для","с","но","к","по","от","под","до","про","о","ко","над","без","при","об","через","из-за","из-под","Author"
"1","ГогольНВ_ВечераЧ1_1.txt",154,95,42,309,157,40,8,46,10,9,83,22,34,45,17,16,13,13,5,1,6,10,5,4,1,0,0,"ГогольНВ"
"2","ГогольНВ_ВечераЧ1_2.txt",179,158,71,413,233,40,8,53,7,6,119,53,42,56,45,12,15,14,15,2,4,8,11,7,5,1,0,"ГогольНВ"
"3","ГогольНВ_ВечераЧ1_3.txt",164,140,52,363,214,29,4,49,8,8,70,26,51,46,29,16,17,13,10,3,5,4,12,4,6,1,1,"ГогольНВ"
"4","ГогольНВ_ВечераЧ2_1.txt",172,160,42,370,211,50,7,60,10,13,105,47,50,38,21,17,10,9,9,3,6,12,11,10,4,0,0,"ГогольНВ"
"5","ГогольНВ_ВечераЧ2_2.txt",171,129,43,331,183,41,7,67,8,6,105,42,48,32,23,24,16,11,13,3,8,12,6,3,7,5,1,"ГогольНВ"
"6","ГогольНВ_ВечераЧ2_3.txt",176,85,52,481,198,32,7,77,9,5,93,49,32,51,41,8,16,12,16,2,16,12,9,3,4,3,0,"ГогольНВ"
"7","ГогольНВ_ВечераЧ2_4.txt",155,186,52,378,222,35,7,62,9,15,135,49,52,55,16,14,15,5,27,1,4,13,9,13,3,3,0,"ГогольНВ"
"8","ГогольНВ_Вий_0.txt",212,175,55,523,290,64,13,67,25,12,135,56,61,78,22,18,9,11,32,2,8,10,13,6,3,5,2,"ГогольНВ"
"9","ГогольНВ_ЗапискСумасш_0.txt",107,165,34,229,138,27,12,46,7,8,48,44,27,18,8,9,9,2,23,8,0,6,5,2,7,0,2,"ГогольНВ"
"10","ГогольНВ_КакПоссор_1.txt",116,109,43,223,125,23,6,35,4,9,89,22,39,24,14,16,7,2,12,1,1,7,11,8,4,3,0,"ГогольНВ"
"11","ГогольНВ_КакПоссор_2.txt",91,140,36,283,178,24,8,37,8,9,98,50,45,34,25,7,14,2,24,5,3,6,19,12,1,0,0,"ГогольНВ"
